,atk,base_card_id,card_id,card_name,card_set_id,char_type,clan,copyright,cost,cv,description,evo_atk,evo_description,evo_life,evo_skill_disc,foil_card_id,format_type,get_red_ether,is_foil,life,normal_card_id,org_evo_skill_disc,org_skill_disc,rarity,restricted_count,skill,skill_disc,skill_option,tokens,tribe_name,use_red_ether
0,1,900111020,900111020,Fairy Wisp,90000,1,1,,0,,"Gliding upon the wind, as if to illuminate the canopy of the forest—but try and catch a glimpse, they'll vanish without a trace.",3,"Gliding upon the wind, gently floating as if willed by the forest itself—even now, they continue to flutter and flicker.",3,,900111021,1,0,0,1,900111020,,[b]Fanfare[/b][b]:[/b] Banish this follower if at least 2 other cards were played this turn.,1,3,banish,Fanfare: Banish this follower if at least 2 other cards were played this turn.,none,,-,0
1,0,110124010,110124010,Mark of the Unkilling,10010,4,1,,0,,"Burned by tears or torn by screams, you must bear it, never decaying, for all eternity.",0,,0,,110124011,1,50,0,0,110124010,,Banish an enemy follower with 0 attack or less.<br>Draw a card.<br>[b]Enhance[/b] [b](6)[/b][b]:[/b] Banish any enemy follower instead.,2,3,"banish,pp_fixeduse,banish,draw",Banish an enemy follower with 0 attack or less.<br>Draw a card.<br>Enhance (6): Banish any enemy follower instead.,"none,fixeduse=6,none,none",,-,200
2,0,900144020,900144020,Blessings of Creation,90000,4,1,,0,,"The noble shimmer of life for you, noble one. —Yggdrasil",0,,0,,900144021,1,0,0,0,900144020,,Draw 2 cards.<br>[b]Enhance[/b] [b](2)[/b][b]:[/b] Add 2 to the number of cards played this turn.,4,3,"draw,pp_fixeduse,play_count_change",Draw 2 cards.<br>Enhance (2): Add 2 to the number of cards played this turn.,"none,fixeduse=2,add_count=2",,-,0
3,0,900144030,900144030,Wrath of Nature,90000,4,1,,0,,The noble shimmer of life must not be defiled by anyone. —Yggdrasil,0,,0,,900144031,1,0,0,0,900144030,,Give an allied follower +1/+0 and [b]Rush[/b].<br>[b]Enhance[/b] [b](4)[/b][b]:[/b] Then give all allied followers [b]Storm[/b].,4,3,"powerup,rush,pp_fixeduse,quick",Give an allied follower +1/+0 and Rush.<br>Enhance (4): Then give all allied followers Storm.,"add_offense=1,none,fixeduse=4,none",,-,0
4,2,900231030,900231030,"Evyn, Novice Agent",90000,1,2,,0,,"Countless traps and snares, and all eyes on the lookout... Wait, whoa! I think I stepped on a trap... Oh geez, I've been compromised already!",2,"I can still turn this around! I just gotta stay cool and collected—everything's clear to me now! Sorry to keep you waiting, Dei! I'll show you what I'm really capable of now!",4,Storm.<br>Evolve: Deal 2 damage to an enemy follower.,900231031,1,0,0,2,900231030,[b]Storm[/b][b].[/b]<br>[b]Evolve[/b][b]:[/b] Deal 2 damage to an enemy follower.,,3,3,"none//quick,damage",,"none//none,damage=2",,Officer,0
5,0,900234020,900234020,Veiled Reckoning,90000,4,2,,0,,I am the night's shadow—not even the moonlight reaches my flesh.,0,,0,,900234021,1,0,0,0,900234020,,Deal 1 damage to an enemy.<br>Put an [b]Assassin[/b] into your hand.,3,3,"damage,token_draw",Deal 1 damage to an enemy.<br>Put an Assassin into your hand.,"damage=1,token_draw=101221020",,-,0
6,3,900521030,900521030,Fran's Attendant,90000,1,5,,0,,"It does not speak, for a monster has no words. However, seen somewhere in its eyes is melancholic sorrow.",5,"You cannot speak, for the towering monster stands right before you. However, heard somewhere in its roars is heartrending anguish.",4,,900521031,1,0,0,2,900521030,,[b]Fanfare[/b][b]:[/b] [b]Necromancy[/b] [b](6)[/b] [b]-[/b] Gain +2/+2 and [b]Rush[/b][b].[/b],2,3,"none,powerup,rush",Fanfare: Necromancy (6) - Gain +2/+2 and Rush.,"none,add_offense=2&add_life=2,none",,-,0
7,0,900524010,900524010,Fran's Curse,90000,4,5,,0,,"If you don't wish to kill me, allow me to change your mind! —Fran, Monster Girl",0,,0,,900524011,1,0,0,0,900524010,,Deal 4 damage to an allied follower and enemy follower.<br>(This card can be played only when both a targetable allied follower and enemy follower are in play.),2,3,"damage,damage",Deal 4 damage to an allied follower and enemy follower.<br>(This card can be played only when both a targetable allied follower and enemy follower are in play.),"damage=4,damage=4",,-,0
8,0,108634010,108634010,Gift for Bloodkin,10008,4,6,,0,,"Hey, can I make you my bloodkin too? —Vania, Vampire Princess",0,,0,,108634011,1,250,0,0,108634010,,Deal 1 damage to both leaders.<br>Summon a [b]Forest Bat[/b] for both leaders.,3,3,"damage,summon_token,summon_token",Deal 1 damage to both leaders.<br>Summon a Forest Bat for both leaders.,"damage=1,summon_token=900611010,summon_token=900611010&summon_side=op",,-,800
9,0,109623010,109623010,Restless Parish,10009,3,6,,0,,"Just as sleep finds itself wrapped in dreams, you are embraced by the night. If you cower in fear of the darkness, the night will forgive your transgressions. But, alas, you seem none the wiser of its terrors—and there is only one end suitable for the ignorant.",0,,0,,109623011,1,50,0,0,109623010,,"If you have at least 2 play points, [b]Choose[/b][b]:[/b] Play this card as either a [b]Night Fall[/b] or a [b]Madness Revealed[/b].<br>---------- <br>[b]Countdown[/b] [b](1)[/b]<br>[b]Fanfare[/b][b]:[/b] Deal 1 damage to your leader.<br>[b]Last Words[/b][b]:[/b] Draw a card.",2,3,"choice,transform,damage,draw","If you have at least 2 play points, Choose: Play this card as either a Night Fall or a Madness Revealed.<br>---------- <br>Countdown (1)<br>Fanfare: Deal 1 damage to your leader.<br>Last Words: Draw a card.","card_id=900623010:900623020,repeat_count=1&summon_side=me,damage=1,none",,-,200
